f,n,number,center,syahen,sinphi,theta(RADIAN),theta(DEGREE)
250,1.492,98,48.75,254.7087798,0.191395051,1.191142319,68.24742769
250,1.492,99,49.25,254.8049499,0.193285099,1.187570174,68.04275885
250,1.492,100,49.75,254.9020645,0.195172997,1.184006904,67.83859852
250,1.492,101,50.25,255.0001225,0.197058729,1.180452555,67.63494933
250,1.492,102,50.75,255.0991229,0.198942276,1.176907173,67.43181388
250,1.492,103,51.25,255.1990645,0.20082362,1.173370801,67.22919469
250,1.492,104,51.75,255.2999461,0.202702745,1.169843482,67.02709423
250,1.492,105,52.25,255.4017668,0.204579634,1.166325259,66.8255149
250,1.492,106,52.75,255.5045254,0.206454269,1.162816173,66.62445907
250,1.492,107,53.25,255.6082207,0.208326633,1.159316264,66.42392903
250,1.492,108,53.75,255.7128517,0.21019671,1.15582557,66.22392703
250,1.492,109,54.25,255.818417,0.212064482,1.152344131,66.02445525
250,1.492,110,54.75,255.9249157,0.213929933,1.148871983,65.82551583
250,1.492,111,55.25,256.0323466,0.215793046,1.145409163,65.62711085
250,1.492,112,55.75,256.1407084,0.217653806,1.141955706,65.42924233
250,1.492,113,56.25,256.25,0.219512195,1.138511646,65.23191223
250,1.492,114,56.75,256.3602202,0.221368198,1.135077017,65.03512248
250,1.492,115,57.25,256.4713678,0.223221799,1.131651851,64.83887494
250,1.492,116,57.75,256.5834416,0.225072981,1.12823618,64.64317141
250,1.492,117,58.25,256.6964404,0.226921729,1.124830034,64.44801365
250,1.492,118,58.75,256.8103629,0.228768027,1.121433444,64.25340335
250,1.492,119,59.25,256.925208,0.23061186,1.118046438,64.05934218
250,1.492,120,59.75,257.0409744,0.232453212,1.114669043,63.86583172
250,1.492,121,60.25,257.1576608,0.234292067,1.111301287,63.67287353
250,1.492,122,60.75,257.275266,0.236128412,1.107943196,63.48046909
250,1.492,123,61.25,257.3937888,0.23796223,1.104594796,63.28861986
250,1.492,124,61.75,257.5132278,0.239793507,1.101256109,63.09732722
250,1.492,125,62.25,257.6335819,0.241622228,1.097927161,62.90659252
250,1.492,126,62.75,257.7548496,0.243448378,1.094607973,62.71641705
250,1.492,127,63.25,257.8770298,0.245271942,1.091298567,62.52680206
